"date" "BAC" "INTC" "JPM" "LIN" "MCD" "MSFT" "PG" "T" "VZ" "WMT" "SP500" "Mkt.RF" "SMB" "HML" "RF"
"1" 2000-10-31 -0.0823391298882429 0.0827062805947665 -0.00809589276764611 -0.00334491755176347 0.0269149706080241 0.141968849142707 0.0713456446257354 0.162340223023839 0.202915313260925 -0.0571427556255891 -0.00494948587236088 -2.76 -3.81 5.64 0.56
"2" 2000-11-30 -0.157399734324678 -0.153804455370784 -0.18955983322755 -0.0352348591425012 0.0349560903763131 -0.166968961147592 0.0481192266059052 -0.0476706106869691 -0.0281078996603986 0.150137628714896 -0.0800686099610699 -10.72 -2.77 11.26 0.51
"3" 2001-01-31 0.173187412599834 0.230768726086253 0.219099881974015 -0.00101391573492748 -0.136764366164827 0.407780530771946 -0.0796337151766907 0.0177312832169836 0.104049846247314 0.06917640936563 0.0346365770863295 3.13 6.54 -4.86 0.54
"4" 2001-02-28 -0.0476009676656213 -0.227607420646853 -0.151482358617935 0.00609085565919587 0.00170332183396749 -0.0337768451681725 -0.0186531408709589 -0.0134434405578304 -0.0991813281163809 -0.118133779747407 -0.092290735849 -10.05 -0.72 12.87 0.38
"5" 2001-04-30 0.0228312353586184 0.174726628635499 0.0774026456417134 0.0600221415193527 0.0357813428012135 0.23885765702254 -0.0348498339384513 -0.0703729839993784 0.125794810674172 0.0245543836168807 0.0768143617590098 7.94 0.54 -4.72 0.39
"6" 2001-05-31 0.0680712135690327 -0.12562493571565 0.024385283499053 0.062539655979571 0.101090751655067 0.021106619131811 0.0697750284919247 0.0436366557545642 -0.00399491972124688 0.000193415724224932 0.00509018711964959 0.72 2.58 3.17 0.32
"7" 2001-07-31 0.0598031106350816 0.0191451087841459 -0.0190276291048511 -0.0353191912093525 0.0768657816762504 -0.0932874932588547 0.119248003549598 0.13108268208718 0.019417098306955 0.145491865555485 -0.0107401500729342 -2.13 -4.35 5.57 0.3
"8" 2001-08-31 -0.0333230841821355 -0.0614751905604182 -0.0900692041043846 0.0381559070556183 0.0305421296648609 -0.138087410802405 0.0440726230623485 -0.0914943167783714 -0.0766389543576438 -0.140429511042792 -0.0641084065637147 -6.46 2.5 2.5 0.31
"9" 2001-10-31 0.0101024392927402 0.194716379508633 0.0455925678142381 0.123332984496498 -0.0394253251214018 0.136408613853765 0.019060415171104 -0.186654239265773 -0.0729729898505641 0.0383835588078441 0.0180991114452778 2.46 7.63 -8.1 0.22
"10" 2001-11-30 0.0405159298673723 0.338446143318118 0.0667410659222794 0.121662277772994 0.0382659328614303 0.1042134019097 0.0498777604076794 -0.0191555327620175 -0.0564143236726597 0.0729576464514727 0.0751759042630535 7.54 -0.41 2.01 0.17
"11" 2001-12-31 0.0355448813140051 -0.0370488021973622 -0.0363199245798084 0.0474238235078279 -0.0137855745743344 0.0317705128574879 0.0215598294592605 0.0478861670698263 0.00978747994205142 0.0448282390425903 0.00757383419291568 1.61 4.57 1.1 0.15
"12" 2002-01-31 0.00127088585713353 0.114149794209687 -0.0544292624277385 0.0506794977108016 0.0268231422061516 -0.0383394433059027 0.0371736329378705 -0.0377310773355296 -0.0158556468042637 0.0422247031127576 -0.0155738325597943 -1.44 1.19 3.33 0.14
"13" 2002-02-28 0.0242527845924323 -0.184737450521611 -0.140969118500867 -0.0025838896466609 -0.0397350326193355 -0.0842882041870278 0.0380751002575717 0.0104133927133501 0.00970874672057276 0.0338438260554788 -0.0207662113055603 -2.29 -1.1 2.5 0.13
"14" 2002-04-30 0.065569237756248 -0.059190769945987 -0.00585557946943371 -0.0451508723153701 0.0234232812962822 -0.133477034568047 0.00607922655215232 -0.1643634711279 -0.12246008852828 -0.0887438664963668 -0.0614176261591399 -5.2 5.94 3.93 0.15
"15" 2002-05-31 0.0459437819263355 -0.0339103964661173 0.0242172593413723 -0.0192644834984258 0.054225477417811 -0.0258326661475479 -0.00786644005115267 0.103992013199239 0.0720514608499401 -0.0315074006936813 -0.00908148107604545 -1.38 -3.21 1.68 0.14
"16" 2002-07-31 -0.0548609560923056 0.0284617882821556 -0.256085696291959 -0.0819730584459366 -0.130052881337582 -0.122851680770782 0.00158330400913775 -0.0853242791264407 -0.169863659476543 -0.105981091840714 -0.0790042749661253 -8.18 -5.3 -3.44 0.15
"17" 2002-09-30 -0.0814013717201382 -0.166766680962495 -0.280681635704058 -0.0845795351464885 -0.25673387462621 -0.10880199118978 0.00823425705767367 -0.187551094986758 -0.11483883924929 -0.0780075401438634 -0.110024318261519 -10.35 2.57 1.32 0.14
"18" 2002-10-31 0.0940441034875341 0.245500596597546 0.111830439092199 0.0663277113808618 0.0254817651509771 0.222450944503227 -0.0058975647243954 0.293220853775029 0.392641858370318 0.0875306202241877 0.0864488010168099 7.84 -2.9 -5.45 0.14
"19" 2002-12-31 0.00197647565023451 -0.254310233462217 -0.0464844019325621 -0.017645965137176 -0.130810551708964 -0.103674995166503 0.0166803398871025 -0.0487723141123233 -0.0747369024094036 -0.0615125392951059 -0.0603325726742906 -5.76 0.01 2.23 0.11
"20" 2003-01-31 0.00689926484407155 0.00578029733344265 -0.0135251015110552 -0.0559115302068548 -0.11442801717377 -0.0820120042076304 0.000463882419546202 -0.0903764138593427 -0.00333243700124985 -0.0536532884380511 -0.0274146925599522 -2.57 1.38 -0.94 0.1
"21" 2003-02-28 -0.0115634068658212 0.102943077705267 -0.0282775540242913 -0.0309865029772806 -0.0442412615540332 0.00194772522318365 -0.0433562862364413 -0.148935971750698 -0.0966557702942393 0.00543972754337618 -0.0170036085029294 -1.88 -0.34 -1.45 0.09
